sip,dip,sport,dport,prot,dsfield,ipflags,length,label,payload
10.1.60.25,10.1.60.203,25,58432,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.25,10.1.60.203,25,53134,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.25,10.1.60.253,25,65215,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,65215,25,tcp,0x00,0x40,80,smtp,"HELO monitor
"
10.1.60.25,10.1.60.253,25,65215,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,65215,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.253,25,65215,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,61095,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,61095,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,61095,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,61095,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,61095,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,51913,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,51913,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,51913,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,51913,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,51913,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,62340,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,62340,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,62340,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,62340,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,62340,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,62785,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,62785,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,62785,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,62785,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,62785,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.253,25,52710,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,52710,25,tcp,0x00,0x40,80,smtp,"HELO monitor
"
10.1.60.25,10.1.60.253,25,52710,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,52710,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.253,25,52710,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,62326,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,62326,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,62326,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,62326,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,62326,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,50583,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,50583,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,50583,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,50583,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,50583,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,52286,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,52286,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,52286,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,52286,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,52286,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,52005,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,52005,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,52005,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,52005,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,52005,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,50877,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,50877,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,50877,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,50877,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,50877,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.253,25,62301,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,62301,25,tcp,0x00,0x40,80,smtp,"HELO monitor
"
10.1.60.25,10.1.60.253,25,62301,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,62301,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.253,25,62301,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,55645,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,55645,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,55645,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,55645,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,55645,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,59802,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,59802,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,59802,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,59802,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,59802,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,63799,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,63799,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,63799,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,63799,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,63799,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,53160,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,53160,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,53160,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,53160,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.203,25,53160,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.253,25,62966,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,62966,25,tcp,0x00,0x40,80,smtp,"HELO monitor
"
10.1.60.25,10.1.60.253,25,62966,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
10.1.60.253,10.1.60.25,62966,25,tcp,0x00,0x40,72,smtp,"QUIT
"
10.1.60.25,10.1.60.253,25,62966,tcp,0x00,0x40,81,smtp,"221 2.0.0 Bye
"
10.1.60.25,10.1.60.203,25,64288,tcp,0x00,0x40,89,smtp,"220 smtp.usma.bluenet
"
10.1.60.203,10.1.60.25,64288,25,tcp,0x00,0x40,98,smtp,"HELO footballbat2.usma.bluenet
"
10.1.60.25,10.1.60.203,25,64288,tcp,0x00,0x40,89,smtp,"250 smtp.usma.bluenet
"
